GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
35,New Mexico,NM,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,53.121902309568995
36,New York,NY,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,43.461056979727005
37,North Carolina,NC,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,56.150999722045995
38,North Dakota,ND,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,37.80734368343734
39,Ohio,OH,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,43.92583894151471
40,Oklahoma,OK,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,50.020537222550324
41,Oregon,OR,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,50.34710910698741
42,Pennsylvania,PA,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,44.67932720660543
44,Rhode Island,RI,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,47.4795146996025
45,South Carolina,SC,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,56.14063474401483
46,South Dakota,SD,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,39.54623612851661
47,Tennessee,TN,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,52.44056372519963
48,Texas,TX,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,55.05831580988591
49,Utah,UT,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,61.0532372391446
50,Vermont,VT,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,47.14357293339083
51,Virginia,VA,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,48.513700813247006
53,Washington,WA,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,60.872340827684695
54,West Virginia,WV,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,47.63382262751199
55,Wisconsin,WI,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,47.37647216626165
56,Wyoming,WY,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,56.49044488696477
72,Puerto Rico,PR,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,0.75,NA
000,United States,USA,2023,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,49.62243193399356
01,Alabama,AL,2023,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,41.68744819013852
02,Alaska,AK,2023,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,64.03666809855073
04,Arizona,AZ,2023,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,35.49617127937979
05,Arkansas,AR,2023,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,43.826344273559
